date,fatality_rate,med_fatal,med_injury,med_no_injury,not-head-on,head-on,year,month,summer_ind
2012-10-01,0.013090774998463525,88.0,62.0,63.0,82.0,131.0,2012,10,0
2012-11-01,0.013811048839071256,77.0,57.0,73.0,57.0,150.0,2012,11,0
2012-12-01,0.01292879417879418,72.0,69.0,58.0,62.0,137.0,2012,12,0
2013-01-01,0.014550174192226244,57.0,93.0,63.0,78.0,135.0,2013,1,0
2013-02-01,0.009090202781446663,39.0,51.0,27.0,33.0,84.0,2013,2,0
2013-03-01,0.009303474394862506,52.0,39.0,22.0,48.0,65.0,2013,3,0
2013-04-01,0.011861391171736,55.0,56.0,29.0,58.0,82.0,2013,4,0
2013-05-01,0.012442830239440409,85.0,58.0,42.0,41.0,144.0,2013,5,0
2013-06-01,0.01347419028340081,98.0,76.0,39.0,33.0,180.0,2013,6,1
2013-07-01,0.019093641345983854,131.0,113.0,80.0,81.0,243.0,2013,7,1
2013-08-01,0.014696485623003195,112.0,84.0,57.0,43.0,210.0,2013,8,1
2013-09-01,0.01355559626305184,89.0,58.0,75.0,61.0,161.0,2013,9,0
2013-10-01,0.011581870826685575,80.0,69.0,47.0,51.0,145.0,2013,10,0
2013-11-01,0.017593568792830784,86.0,109.0,72.0,74.0,193.0,2013,11,0
2013-12-01,0.010464573751916284,55.0,61.0,41.0,51.0,106.0,2013,12,0
2014-01-01,0.010907723169508526,58.0,85.0,31.0,104.0,70.0,2014,1,0
2014-02-01,0.009960462287104623,47.0,58.0,26.0,42.0,89.0,2014,2,0
2014-03-01,0.012392196265594908,51.0,59.0,38.0,69.0,79.0,2014,3,0
2014-04-01,0.011196572875085192,46.0,46.0,23.0,23.0,92.0,2014,4,0
2014-05-01,0.0167994321318716,83.0,75.0,55.0,37.0,176.0,2014,5,0
2014-06-01,0.015691868758915834,101.0,85.0,34.0,72.0,148.0,2014,6,1
2014-07-01,0.016356828483216186,94.0,88.0,67.0,42.0,207.0,2014,7,1
2014-08-01,0.015697865353037768,104.0,80.0,55.0,71.0,168.0,2014,8,1
2014-09-01,0.013333333333333334,96.0,46.0,56.0,32.0,166.0,2014,9,0
2014-10-01,0.012839784542152073,87.0,78.0,40.0,63.0,142.0,2014,10,0
2014-11-01,0.012361352398770547,72.0,71.0,42.0,48.0,137.0,2014,11,0
2014-12-01,0.011748445058742226,62.0,56.0,52.0,44.0,126.0,2014,12,0
2015-01-01,0.012702893436838392,71.0,71.0,56.0,82.0,116.0,2015,1,0
2015-02-01,0.0115210355987055,59.0,81.0,38.0,65.0,113.0,2015,2,0
2015-03-01,0.006916519221489464,22.0,32.0,32.0,16.0,70.0,2015,3,0
2015-04-01,0.013719512195121951,70.0,63.0,29.0,52.0,110.0,2015,4,0
2015-05-01,0.01267962806424345,79.0,63.0,38.0,47.0,133.0,2015,5,0
2015-06-01,0.014642220524573465,98.0,90.0,42.0,89.0,141.0,2015,6,1
2015-07-01,0.017541773205684723,118.0,110.0,67.0,96.0,199.0,2015,7,1
2015-08-01,0.01647058823529412,112.0,105.0,49.0,79.0,187.0,2015,8,1
